"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1164359165516496896""",https://twitter.com/katyperry/status/1164359165516496896,"2019-08-22 02:10:32","""if you actually wear your fanny pack around your waist you will have 7 years of bad luck""",Tweet,"Twitter for iPhone",1630,13782,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1164287143037952000""",https://twitter.com/katyperry/status/1164287143037952000,"2019-08-21 21:24:20","""Yes, @cynthialovely refuses to let the sunshine fade... ever 🌞 Thanks @billboard #NeverEndingSummer 🧡 https://t.co/vaZ1VxF7KE""",Tweet,"Twitter for iPhone",401,3604,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1164237129666314240""",https://twitter.com/katyperry/status/1164237129666314240,"2019-08-21 18:05:36","""Technically summer doesn’t end until September 23rd, but it seems like it’ll be a long one this year...maybe even a never-ending one, thanks to this song by @cynthialovely ☀🤗 #NeverEndingSummer https://t.co/AmmRcquKSn https://t.co/YrJxlgHAQM""",Tweet,"Twitter for iPhone",690,5955,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1164057424703176704""",https://twitter.com/katyperry/status/1164057424703176704,"2019-08-21 06:11:31","""I’m having the PRIME of my life lilnasx jeffbezos #Nugget 👍🏻 amazon @ Old Town Road https://t.co/qjwvTPEyH1""",Tweet,Instagram,763,6432,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1163970049050210304""",https://twitter.com/katyperry/status/1163970049050210304,"2019-08-21 00:24:19","""Add a little ✨shine✨ to your regularly scheduled work lewk with The Jamie this #TuesdayShoesday @kpcollections https://t.co/ukwbd8iP3J""",Tweet,"Twitter for iPhone",625,6411,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1163541461234847744""",https://twitter.com/katyperry/status/1163541461234847744,"2019-08-19 20:01:16","""On October 11th, I’ll be in DC for a special 🎶 acoustic 🎶 set for the #SilencetheViolence Benefit Concert ✨ @mavisstaples and @norahjones will be joining me to help raise funds for the David Lynch Foundation to… https://t.co/wxGQhyQs9j""",Tweet,Instagram,933,6889,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1162837018402934784""",https://twitter.com/katyperry/status/1162837018402934784,"2019-08-17 21:22:04","""Show me your 🌼FLOWER POWER🌼 with my new #SmallTalk filter on instagram (click on my profile to find it, see 3rd scroll) 🤗 @ Small Talk! https://t.co/IbjRZvGSgU""",Tweet,Instagram,1045,8239,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1162411165860810752""",https://twitter.com/katyperry/status/1162411165860810752,"2019-08-16 17:09:53","""Haven’t heard #SmallTalk yet? Now you can head to @spotify to see my new vertical video (as you so patiently wait for THE music video 🙏🏻) https://t.co/0qD83Z8aIZ https://t.co/0ISMSOTwej""",Tweet,"Twitter for iPhone",3227,18872,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1162107758591692800""",https://twitter.com/katyperry/status/1162107758591692800,"2019-08-15 21:04:15","""honey every day is @cynthialovely day for me when you’re the boss mom ❤️❤️❤️ (updates calendar) https://t.co/DKY0JUel7K""",Tweet,"Twitter for iPhone",557,5927,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1162094625399566336""",https://twitter.com/katyperry/status/1162094625399566336,"2019-08-15 20:12:04","""added to my calendar @cynthialovely ♥️☀️ https://t.co/aL0CxdeygI""",Tweet,"Twitter for iPhone",557,6278,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
